entity_type,entity_id,year,fallow_acres,source,fallow_pct
county,6019,2012,201170.0,cdl_county,
county,6029,2012,369830.5,cdl_county,
county,6031,2012,198078.5,cdl_county,
county,6039,2012,18500.8,cdl_county,
county,6047,2012,29687.7,cdl_county,
county,6077,2012,24259.5,cdl_county,
county,6099,2012,4671.0,cdl_county,
county,6107,2012,116690.5,cdl_county,
county,6019,2014,245797.5,cdl_county,
county,6029,2014,261393.8,cdl_county,
county,6031,2014,214689.3,cdl_county,
county,6039,2014,17996.8,cdl_county,
county,6047,2014,52666.6,cdl_county,
county,6077,2014,17391.9,cdl_county,
county,6099,2014,6854.2,cdl_county,
county,6107,2014,88017.6,cdl_county,
county,6019,2018,273249.6,cdl_county,
county,6029,2018,351070.6,cdl_county,
county,6031,2018,229935.4,cdl_county,
county,6039,2018,26781.0,cdl_county,
county,6047,2018,63415.2,cdl_county,
county,6077,2018,28382.9,cdl_county,
county,6099,2018,15424.6,cdl_county,
county,6107,2018,110971.4,cdl_county,
county,6019,2022,227136.5,cdl_county,
county,6029,2022,108070.5,cdl_county,
county,6031,2022,159507.7,cdl_county,
county,6039,2022,7604.3,cdl_county,
county,6047,2022,24015.1,cdl_county,
county,6077,2022,14205.7,cdl_county,
county,6099,2022,3611.9,cdl_county,
county,6107,2022,33209.5,cdl_county,
gsp,7,2014,561.15,gsp_land_use_survey,2.13
gsp,8,2014,224483.75,gsp_land_use_survey,38.47
gsp,9,2014,17923.93,gsp_land_use_survey,4.7
gsp,13,2014,33826.93,gsp_land_use_survey,15.76
gsp,14,2014,896.65,gsp_land_use_survey,38.26
gsp,15,2014,27662.06,gsp_land_use_survey,6.97
gsp,20,2014,1041.35,gsp_land_use_survey,5.14
gsp,21,2014,6749.31,gsp_land_use_survey,2.35
gsp,22,2014,6502.1,gsp_land_use_survey,4.94
gsp,23,2014,9965.45,gsp_land_use_survey,6.9
gsp,24,2014,11936.87,gsp_land_use_survey,5.25
gsp,25,2014,9991.13,gsp_land_use_survey,6.68
gsp,26,2014,468.21,gsp_land_use_survey,4.96
gsp,28,2014,2372.25,gsp_land_use_survey,2.06
gsp,31,2014,983.15,gsp_land_use_survey,2.57
gsp,38,2014,1597.54,gsp_land_use_survey,1.0
gsp,42,2014,91414.25,gsp_land_use_survey,23.89
gsp,43,2014,19801.48,gsp_land_use_survey,16.76
gsp,45,2014,500.04,gsp_land_use_survey,5.79
gsp,47,2014,7691.27,gsp_land_use_survey,3.74
gsp,48,2014,3196.14,gsp_land_use_survey,37.01
gsp,49,2014,0.0,gsp_land_use_survey,0.0
gsp,56,2014,809.09,gsp_land_use_survey,0.9
gsp,57,2014,10514.73,gsp_land_use_survey,27.21
gsp,61,2014,9.0,gsp_land_use_survey,0.1
gsp,63,2014,2701.53,gsp_land_use_survey,4.26
gsp,65,2014,1390.26,gsp_land_use_survey,2.26
gsp,67,2014,185.49,gsp_land_use_survey,51.39
gsp,85,2014,7368.6,gsp_land_use_survey,4.31
gsp,110,2014,7056.3,gsp_land_use_survey,2.51
gsp,120,2014,249.57,gsp_land_use_survey,3.7
gsp,122,2014,7766.25,gsp_land_use_survey,6.59
gsp,123,2014,1573.28,gsp_land_use_survey,4.31
gsp,145,2014,15236.12,gsp_land_use_survey,48.54
gsp,160,2014,2419.74,gsp_land_use_survey,1.98
gsp,164,2014,2711.31,gsp_land_use_survey,2.84
gsp,165,2014,4956.58,gsp_land_use_survey,2.38
gsp,166,2014,3745.38,gsp_land_use_survey,4.21
gsp,167,2014,33714.82,gsp_land_use_survey,5.55
gsp,168,2014,2342.32,gsp_land_use_survey,4.43
gsp,169,2014,13462.53,gsp_land_use_survey,68.82
gsp,170,2014,981.17,gsp_land_use_survey,8.41
gsp,171,2014,0.0,gsp_land_use_survey,0.0
gsp,172,2014,7884.38,gsp_land_use_survey,4.8
gsp,173,2014,34427.63,gsp_land_use_survey,24.37
gsp,7,2016,664.6,gsp_land_use_survey,2.51
gsp,8,2016,138928.09,gsp_land_use_survey,24.1
gsp,9,2016,13611.83,gsp_land_use_survey,3.49
gsp,13,2016,22901.92,gsp_land_use_survey,10.56
gsp,14,2016,665.22,gsp_land_use_survey,28.56
gsp,15,2016,14191.1,gsp_land_use_survey,3.54
gsp,20,2016,1172.95,gsp_land_use_survey,5.8
gsp,21,2016,14418.28,gsp_land_use_survey,4.32
gsp,22,2016,8765.97,gsp_land_use_survey,6.53
gsp,23,2016,12657.86,gsp_land_use_survey,8.57
gsp,24,2016,15736.95,gsp_land_use_survey,6.4
gsp,25,2016,9595.63,gsp_land_use_survey,6.44
gsp,26,2016,929.03,gsp_land_use_survey,9.43
gsp,28,2016,4802.26,gsp_land_use_survey,4.2
gsp,31,2016,1698.62,gsp_land_use_survey,5.03
gsp,38,2016,1320.72,gsp_land_use_survey,0.84
gsp,42,2016,63931.84,gsp_land_use_survey,16.48
gsp,43,2016,13513.61,gsp_land_use_survey,11.01
gsp,45,2016,1257.13,gsp_land_use_survey,13.46
gsp,47,2016,5676.04,gsp_land_use_survey,2.71
gsp,48,2016,5897.05,gsp_land_use_survey,47.35
gsp,49,2016,0.0,gsp_land_use_survey,0.0
gsp,56,2016,3530.76,gsp_land_use_survey,3.87
gsp,57,2016,23080.64,gsp_land_use_survey,44.28
gsp,61,2016,79.97,gsp_land_use_survey,0.41
gsp,63,2016,5729.1,gsp_land_use_survey,8.89
gsp,65,2016,2959.8,gsp_land_use_survey,4.79
gsp,67,2016,174.15,gsp_land_use_survey,18.34
gsp,85,2016,4822.38,gsp_land_use_survey,2.72
gsp,110,2016,7953.19,gsp_land_use_survey,2.78
gsp,120,2016,639.53,gsp_land_use_survey,9.64
gsp,122,2016,5819.43,gsp_land_use_survey,4.89
gsp,123,2016,3244.03,gsp_land_use_survey,8.86
gsp,145,2016,8012.56,gsp_land_use_survey,24.28
gsp,160,2016,5795.44,gsp_land_use_survey,4.36
gsp,164,2016,3970.25,gsp_land_use_survey,4.12
gsp,165,2016,7863.96,gsp_land_use_survey,3.63
gsp,166,2016,6402.04,gsp_land_use_survey,6.43
gsp,167,2016,52563.8,gsp_land_use_survey,8.61
gsp,168,2016,4463.64,gsp_land_use_survey,8.28
gsp,169,2016,9751.09,gsp_land_use_survey,45.32
gsp,170,2016,678.51,gsp_land_use_survey,5.84
gsp,171,2016,23.42,gsp_land_use_survey,0.63
gsp,172,2016,10826.43,gsp_land_use_survey,6.68
gsp,173,2016,52149.43,gsp_land_use_survey,35.24
gsp,7,2018,734.98,gsp_land_use_survey,2.78
gsp,8,2018,198462.62,gsp_land_use_survey,35.08
gsp,9,2018,65150.96,gsp_land_use_survey,22.62
gsp,13,2018,37105.82,gsp_land_use_survey,18.18
gsp,14,2018,734.84,gsp_land_use_survey,32.96
gsp,15,2018,96104.32,gsp_land_use_survey,38.26
gsp,20,2018,1359.09,gsp_land_use_survey,18.57
gsp,21,2018,17501.96,gsp_land_use_survey,5.58
gsp,22,2018,9352.06,gsp_land_use_survey,6.95
gsp,23,2018,20456.8,gsp_land_use_survey,13.83
gsp,24,2018,17962.35,gsp_land_use_survey,7.31
gsp,25,2018,38001.64,gsp_land_use_survey,26.84
gsp,26,2018,907.2,gsp_land_use_survey,9.12
gsp,28,2018,12147.36,gsp_land_use_survey,11.24
gsp,31,2018,5214.1,gsp_land_use_survey,19.7
gsp,38,2018,4593.77,gsp_land_use_survey,34.09
gsp,42,2018,208658.84,gsp_land_use_survey,57.2
gsp,43,2018,20371.13,gsp_land_use_survey,16.59
gsp,45,2018,718.53,gsp_land_use_survey,7.75
gsp,47,2018,27067.63,gsp_land_use_survey,12.91
gsp,48,2018,6972.71,gsp_land_use_survey,56.1
gsp,49,2018,779.39,gsp_land_use_survey,19.21
gsp,56,2018,45745.85,gsp_land_use_survey,51.33
gsp,57,2018,26243.97,gsp_land_use_survey,50.97
gsp,61,2018,56.39,gsp_land_use_survey,0.65
gsp,63,2018,5850.63,gsp_land_use_survey,9.05
gsp,65,2018,21481.61,gsp_land_use_survey,38.99
gsp,67,2018,177.74,gsp_land_use_survey,18.72
gsp,85,2018,18355.11,gsp_land_use_survey,10.65
gsp,110,2018,56860.39,gsp_land_use_survey,20.65
gsp,120,2018,1758.54,gsp_land_use_survey,26.44
gsp,122,2018,25482.87,gsp_land_use_survey,21.43
gsp,123,2018,2177.48,gsp_land_use_survey,5.85
gsp,145,2018,10055.05,gsp_land_use_survey,30.33
gsp,160,2018,22632.23,gsp_land_use_survey,17.59
gsp,164,2018,35547.05,gsp_land_use_survey,37.0
gsp,165,2018,72766.31,gsp_land_use_survey,34.1
gsp,166,2018,8964.43,gsp_land_use_survey,8.87
gsp,167,2018,101168.39,gsp_land_use_survey,16.97
gsp,168,2018,18585.96,gsp_land_use_survey,42.58
gsp,169,2018,15088.2,gsp_land_use_survey,68.88
gsp,170,2018,1013.96,gsp_land_use_survey,8.51
gsp,171,2018,63.77,gsp_land_use_survey,1.68
gsp,172,2018,29750.45,gsp_land_use_survey,21.67
gsp,173,2018,51730.54,gsp_land_use_survey,37.82
gsp,7,2019,639.79,gsp_land_use_survey,2.42
gsp,8,2019,165465.76,gsp_land_use_survey,29.29
gsp,9,2019,61576.79,gsp_land_use_survey,21.28
gsp,13,2019,33819.1,gsp_land_use_survey,16.56
gsp,14,2019,274.5,gsp_land_use_survey,12.31
gsp,15,2019,88222.58,gsp_land_use_survey,35.02
gsp,20,2019,930.97,gsp_land_use_survey,12.66
gsp,21,2019,15600.36,gsp_land_use_survey,4.93
gsp,22,2019,6493.16,gsp_land_use_survey,4.7
gsp,23,2019,18259.12,gsp_land_use_survey,12.35
gsp,24,2019,15998.47,gsp_land_use_survey,6.45
gsp,25,2019,34512.16,gsp_land_use_survey,24.4
gsp,26,2019,776.85,gsp_land_use_survey,7.55
gsp,28,2019,11345.0,gsp_land_use_survey,10.5
gsp,31,2019,6966.13,gsp_land_use_survey,26.32
gsp,38,2019,3645.06,gsp_land_use_survey,26.25
gsp,42,2019,199589.62,gsp_land_use_survey,54.57
gsp,43,2019,14140.17,gsp_land_use_survey,11.51
gsp,45,2019,593.06,gsp_land_use_survey,6.3
gsp,47,2019,24279.55,gsp_land_use_survey,11.42
gsp,48,2019,5580.26,gsp_land_use_survey,44.87
gsp,49,2019,167.47,gsp_land_use_survey,4.13
gsp,56,2019,41507.62,gsp_land_use_survey,46.64
gsp,57,2019,22942.74,gsp_land_use_survey,44.95
gsp,61,2019,44.5,gsp_land_use_survey,0.51
gsp,63,2019,5409.75,gsp_land_use_survey,8.37
gsp,65,2019,19943.85,gsp_land_use_survey,36.28
gsp,67,2019,107.12,gsp_land_use_survey,11.28
gsp,85,2019,15380.67,gsp_land_use_survey,8.89
gsp,110,2019,55496.19,gsp_land_use_survey,20.08
gsp,120,2019,1917.17,gsp_land_use_survey,28.8
gsp,122,2019,17667.25,gsp_land_use_survey,13.4
gsp,123,2019,2018.41,gsp_land_use_survey,5.42
gsp,145,2019,13248.86,gsp_land_use_survey,40.85
gsp,160,2019,22492.35,gsp_land_use_survey,17.48
gsp,164,2019,33111.57,gsp_land_use_survey,34.23
gsp,165,2019,69662.64,gsp_land_use_survey,32.37
gsp,166,2019,8005.28,gsp_land_use_survey,7.89
gsp,167,2019,87752.83,gsp_land_use_survey,14.67
gsp,168,2019,16682.82,gsp_land_use_survey,38.25
gsp,169,2019,16290.99,gsp_land_use_survey,74.41
gsp,170,2019,463.6,gsp_land_use_survey,3.89
gsp,171,2019,0.0,gsp_land_use_survey,0.0
gsp,172,2019,22804.41,gsp_land_use_survey,16.69
gsp,173,2019,40108.08,gsp_land_use_survey,29.36
gsp,7,2020,838.18,gsp_land_use_survey,3.18
gsp,8,2020,185792.2,gsp_land_use_survey,33.07
gsp,9,2020,62484.38,gsp_land_use_survey,21.56
gsp,13,2020,42866.29,gsp_land_use_survey,20.93
gsp,14,2020,467.76,gsp_land_use_survey,21.02
gsp,15,2020,86382.23,gsp_land_use_survey,34.27
gsp,20,2020,2158.8,gsp_land_use_survey,29.35
gsp,21,2020,20527.34,gsp_land_use_survey,6.46
gsp,22,2020,9278.66,gsp_land_use_survey,6.72
gsp,23,2020,18304.29,gsp_land_use_survey,12.35
gsp,24,2020,20249.54,gsp_land_use_survey,8.13
gsp,25,2020,34762.47,gsp_land_use_survey,24.6
gsp,26,2020,605.27,gsp_land_use_survey,5.81
gsp,28,2020,13150.99,gsp_land_use_survey,12.18
gsp,31,2020,7777.78,gsp_land_use_survey,29.36
gsp,38,2020,3251.33,gsp_land_use_survey,23.06
gsp,42,2020,203045.93,gsp_land_use_survey,55.26
gsp,43,2020,25071.64,gsp_land_use_survey,20.39
gsp,45,2020,694.43,gsp_land_use_survey,7.52
gsp,47,2020,27369.53,gsp_land_use_survey,12.81
gsp,48,2020,6260.27,gsp_land_use_survey,50.92
gsp,49,2020,154.13,gsp_land_use_survey,3.8
gsp,56,2020,39427.19,gsp_land_use_survey,43.84
gsp,57,2020,24645.0,gsp_land_use_survey,48.35
gsp,61,2020,135.07,gsp_land_use_survey,1.54
gsp,63,2020,10325.41,gsp_land_use_survey,15.88
gsp,65,2020,20235.82,gsp_land_use_survey,36.61
gsp,67,2020,107.12,gsp_land_use_survey,11.7
gsp,85,2020,17571.74,gsp_land_use_survey,10.15
gsp,110,2020,58947.72,gsp_land_use_survey,21.26
gsp,120,2020,2051.36,gsp_land_use_survey,30.83
gsp,122,2020,21195.31,gsp_land_use_survey,16.11
gsp,123,2020,5394.89,gsp_land_use_survey,14.46
gsp,145,2020,11534.37,gsp_land_use_survey,35.44
gsp,160,2020,24955.35,gsp_land_use_survey,19.45
gsp,164,2020,30962.4,gsp_land_use_survey,31.71
gsp,165,2020,68962.18,gsp_land_use_survey,31.72
gsp,166,2020,8112.84,gsp_land_use_survey,7.91
gsp,167,2020,101343.89,gsp_land_use_survey,16.82
gsp,168,2020,15777.14,gsp_land_use_survey,36.7
gsp,169,2020,14373.17,gsp_land_use_survey,65.01
gsp,170,2020,1723.5,gsp_land_use_survey,14.54
gsp,171,2020,0.0,gsp_land_use_survey,0.0
gsp,172,2020,25826.07,gsp_land_use_survey,18.82
gsp,173,2020,48903.94,gsp_land_use_survey,35.73
gsp,7,2021,565.49,gsp_land_use_survey,2.14
gsp,8,2021,202688.9,gsp_land_use_survey,36.36
gsp,9,2021,60267.55,gsp_land_use_survey,20.79
gsp,13,2021,43135.04,gsp_land_use_survey,21.07
gsp,14,2021,458.34,gsp_land_use_survey,20.68
gsp,15,2021,77893.56,gsp_land_use_survey,30.87
gsp,20,2021,1927.18,gsp_land_use_survey,26.19
gsp,21,2021,18785.0,gsp_land_use_survey,5.91
gsp,22,2021,9156.26,gsp_land_use_survey,6.62
gsp,23,2021,20848.59,gsp_land_use_survey,14.05
gsp,24,2021,17186.46,gsp_land_use_survey,6.88
gsp,25,2021,35757.63,gsp_land_use_survey,25.33
gsp,26,2021,659.58,gsp_land_use_survey,6.28
gsp,28,2021,13259.46,gsp_land_use_survey,12.28
gsp,31,2021,7095.61,gsp_land_use_survey,26.79
gsp,38,2021,3106.67,gsp_land_use_survey,21.98
gsp,42,2021,202568.81,gsp_land_use_survey,55.35
gsp,43,2021,37346.74,gsp_land_use_survey,30.39
gsp,45,2021,942.35,gsp_land_use_survey,10.11
gsp,47,2021,24369.0,gsp_land_use_survey,11.44
gsp,48,2021,6861.27,gsp_land_use_survey,55.81
gsp,49,2021,0.0,gsp_land_use_survey,0.0
gsp,56,2021,37930.8,gsp_land_use_survey,42.18
gsp,57,2021,28551.21,gsp_land_use_survey,56.02
gsp,61,2021,29.13,gsp_land_use_survey,0.33
gsp,63,2021,10470.41,gsp_land_use_survey,16.21
gsp,65,2021,17157.7,gsp_land_use_survey,31.04
gsp,67,2021,118.15,gsp_land_use_survey,12.9
gsp,85,2021,16374.8,gsp_land_use_survey,9.48
gsp,110,2021,57577.66,gsp_land_use_survey,20.85
gsp,120,2021,2256.31,gsp_land_use_survey,33.34
gsp,122,2021,17827.95,gsp_land_use_survey,13.48
gsp,123,2021,6230.04,gsp_land_use_survey,16.69
gsp,145,2021,16048.13,gsp_land_use_survey,49.87
gsp,160,2021,17345.56,gsp_land_use_survey,13.51
gsp,164,2021,31650.15,gsp_land_use_survey,32.32
gsp,165,2021,70006.84,gsp_land_use_survey,32.29
gsp,166,2021,11624.86,gsp_land_use_survey,11.34
gsp,167,2021,107775.67,gsp_land_use_survey,17.88
gsp,168,2021,14680.15,gsp_land_use_survey,34.2
gsp,169,2021,15113.25,gsp_land_use_survey,68.88
gsp,170,2021,1581.74,gsp_land_use_survey,13.34
gsp,171,2021,0.0,gsp_land_use_survey,0.0
gsp,172,2021,30899.05,gsp_land_use_survey,22.51
gsp,173,2021,55210.24,gsp_land_use_survey,40.32
gsp,7,2022,513.7,gsp_land_use_survey,1.95
gsp,8,2022,222919.43,gsp_land_use_survey,39.93
gsp,9,2022,59361.31,gsp_land_use_survey,20.45
gsp,13,2022,44474.79,gsp_land_use_survey,21.73
gsp,14,2022,577.17,gsp_land_use_survey,26.03
gsp,15,2022,84062.68,gsp_land_use_survey,33.32
gsp,20,2022,1615.2,gsp_land_use_survey,22.15
gsp,21,2022,18044.29,gsp_land_use_survey,8.16
gsp,22,2022,9080.13,gsp_land_use_survey,6.57
gsp,23,2022,18995.3,gsp_land_use_survey,12.81
gsp,24,2022,17572.07,gsp_land_use_survey,7.06
gsp,25,2022,32771.39,gsp_land_use_survey,23.24
gsp,26,2022,731.09,gsp_land_use_survey,6.95
gsp,28,2022,13193.68,gsp_land_use_survey,12.22
gsp,31,2022,6815.07,gsp_land_use_survey,25.63
gsp,38,2022,3926.53,gsp_land_use_survey,28.04
gsp,42,2022,193403.25,gsp_land_use_survey,52.79
gsp,43,2022,21160.91,gsp_land_use_survey,17.26
gsp,45,2022,1166.79,gsp_land_use_survey,12.7
gsp,47,2022,22722.45,gsp_land_use_survey,10.59
gsp,48,2022,6453.95,gsp_land_use_survey,52.51
gsp,49,2022,0.0,gsp_land_use_survey,0.0
gsp,56,2022,36402.34,gsp_land_use_survey,40.73
gsp,57,2022,25411.16,gsp_land_use_survey,50.05
gsp,61,2022,29.13,gsp_land_use_survey,0.33
gsp,63,2022,8324.86,gsp_land_use_survey,12.93
gsp,65,2022,17076.01,gsp_land_use_survey,30.93
gsp,67,2022,118.15,gsp_land_use_survey,14.2
gsp,85,2022,14118.86,gsp_land_use_survey,8.17
gsp,110,2022,50929.47,gsp_land_use_survey,18.44
gsp,120,2022,3054.58,gsp_land_use_survey,26.83
gsp,122,2022,16869.4,gsp_land_use_survey,12.83
gsp,123,2022,4951.95,gsp_land_use_survey,16.11
gsp,145,2022,15577.15,gsp_land_use_survey,50.51
gsp,160,2022,19108.03,gsp_land_use_survey,14.89
gsp,164,2022,29047.58,gsp_land_use_survey,29.81
gsp,165,2022,68458.0,gsp_land_use_survey,31.53
gsp,166,2022,9091.77,gsp_land_use_survey,8.79
gsp,167,2022,91585.55,gsp_land_use_survey,15.6
gsp,168,2022,12512.34,gsp_land_use_survey,29.2
gsp,169,2022,15910.9,gsp_land_use_survey,72.26
gsp,170,2022,594.17,gsp_land_use_survey,5.0
gsp,171,2022,0.0,gsp_land_use_survey,0.0
gsp,172,2022,27800.38,gsp_land_use_survey,20.31
gsp,173,2022,52832.71,gsp_land_use_survey,38.66
gsp,7,2024,1858.64,gsp_land_use_survey,7.07
gsp,8,2024,164822.13,gsp_land_use_survey,30.12
gsp,9,2024,55059.6,gsp_land_use_survey,18.96
gsp,13,2024,40418.11,gsp_land_use_survey,19.87
gsp,14,2024,534.17,gsp_land_use_survey,24.25
gsp,15,2024,75792.28,gsp_land_use_survey,30.1
gsp,20,2024,1409.2,gsp_land_use_survey,19.32
gsp,21,2024,22034.02,gsp_land_use_survey,9.96
gsp,22,2024,9785.73,gsp_land_use_survey,7.08
gsp,23,2024,20771.52,gsp_land_use_survey,14.03
gsp,24,2024,18040.87,gsp_land_use_survey,7.23
gsp,25,2024,31550.29,gsp_land_use_survey,22.43
gsp,26,2024,714.78,gsp_land_use_survey,6.5
gsp,28,2024,13033.64,gsp_land_use_survey,12.09
gsp,31,2024,6343.6,gsp_land_use_survey,24.21
gsp,38,2024,3558.58,gsp_land_use_survey,25.44
gsp,42,2024,202658.4,gsp_land_use_survey,54.28
gsp,43,2024,14338.02,gsp_land_use_survey,11.92
gsp,45,2024,1139.09,gsp_land_use_survey,12.2
gsp,47,2024,23822.32,gsp_land_use_survey,11.14
gsp,48,2024,6574.77,gsp_land_use_survey,54.32
gsp,49,2024,238.73,gsp_land_use_survey,5.9
gsp,56,2024,40772.56,gsp_land_use_survey,46.55
gsp,57,2024,24624.94,gsp_land_use_survey,48.73
gsp,61,2024,265.48,gsp_land_use_survey,3.03
gsp,63,2024,9483.5,gsp_land_use_survey,14.68
gsp,65,2024,17753.46,gsp_land_use_survey,32.74
gsp,67,2024,188.77,gsp_land_use_survey,24.28
gsp,85,2024,17500.38,gsp_land_use_survey,10.13
gsp,110,2024,55296.91,gsp_land_use_survey,19.92
gsp,120,2024,2099.62,gsp_land_use_survey,31.05
gsp,122,2024,16528.64,gsp_land_use_survey,13.57
gsp,123,2024,4591.2,gsp_land_use_survey,12.29
gsp,145,2024,11873.02,gsp_land_use_survey,38.03
gsp,160,2024,20147.46,gsp_land_use_survey,15.72
gsp,164,2024,29081.53,gsp_land_use_survey,29.9
gsp,165,2024,68239.45,gsp_land_use_survey,32.94
gsp,166,2024,9232.37,gsp_land_use_survey,8.86
gsp,167,2024,94233.47,gsp_land_use_survey,15.77
gsp,168,2024,13634.1,gsp_land_use_survey,31.98
gsp,169,2024,12793.79,gsp_land_use_survey,60.27
gsp,170,2024,739.97,gsp_land_use_survey,6.24
gsp,171,2024,0.0,gsp_land_use_survey,0.0
gsp,172,2024,32361.41,gsp_land_use_survey,23.72
gsp,173,2024,53066.89,gsp_land_use_survey,38.65
