gsa_source,gsa_target,spillover_weight
10,146,57686.25274063531
10,149,57686.805565663526
10,157,57691.35053151898
10,224,57691.35053151898
10,252,57691.35053151898
10,259,57690.79385007396
10,265,57691.35053151898
10,286,57684.934144581486
10,289,57691.35053151898
10,299,57691.35053151898
10,343,57676.51879451832
10,463,57691.35053151898
116,155,64751.27430861427
116,160,64748.28894715454
116,182,64751.27430861427
116,193,64750.254002253154
116,312,64743.97222939028
116,496,64746.819903390046
116,97,64749.49689574629
12,10,53101.84975883974
12,13,53100.84197504905
12,17,53101.84975883974
12,19,63889.91756273622
12,206,53099.34416199872
12,214,53091.47823119123
12,220,53083.962453208966
12,222,71617.82312117371
12,226,71617.51044122872
12,23,53101.75245998009
12,231,53090.929673240695
12,237,53101.84975883974
12,269,53101.84975883974
12,271,53101.84975883974
12,298,53094.078407790854
12,30,53101.84975883974
12,301,53100.810341944176
12,302,53101.84975883974
12,308,53092.6554251794
12,33,63888.1296550761
12,34,63887.45081192624
12,358,71614.87977195765
12,360,53101.84975883974
12,41,63889.91756273622
12,411,71617.73751070537
12,47,63889.91756273622
12,57,53101.84975883974
12,59,63889.91756273622
12,62,53101.84975883974
12,66,53101.84975883974
12,67,53101.315514363334
12,69,63853.41689958163
12,70,42330.007884124716
12,71,53101.84975883974
12,73,71609.36316547985
13,146,57686.25274063531
13,149,57686.805565663526
13,157,57690.04599420508
13,224,57690.04599420508
13,252,57690.04599420508
13,259,57690.04599420508
13,265,57690.04599420508
13,286,57684.934144581486
13,289,57690.04599420508
13,299,57690.04599420508
13,343,57676.51879451832
13,463,57690.04599420508
137,155,64750.95810481666
137,160,64748.28894715454
137,182,64750.95810481666
137,193,64750.254002253154
137,312,64743.97222939028
137,496,64746.819903390046
137,97,64749.49689574629
140,155,64751.27430861427
140,160,64748.28894715454
140,182,64751.27430861427
140,193,64750.254002253154
140,312,64743.97222939028
140,496,64746.819903390046
140,97,64749.49689574629
142,155,64747.7053680234
142,160,64747.7053680234
142,182,64747.7053680234
142,193,64747.7053680234
142,312,64743.97222939028
142,496,64746.819903390046
142,97,64747.7053680234
146,116,82482.99023780883
146,137,82482.99023780883
146,140,82482.99023780883
146,142,82482.99023780883
146,151,82482.99023780883
146,152,82482.99023780883
146,159,82482.99023780883
146,183,82467.62601575343
146,189,82482.99023780883
146,201,82482.99023780883
146,208,82480.65832667564
146,228,82481.68700358826
146,249,82482.99023780883
146,288,82482.99023780883
146,389,82482.99023780883
146,91,82482.99023780883
146,99,82482.99023780883
149,116,82483.78069756726
149,137,82483.78069756726
149,140,82483.78069756726
149,142,82483.78069756726
149,151,82483.78069756726
149,152,82483.78069756726
149,159,82483.78069756726
149,183,82467.62601575343
149,189,82483.78069756726
149,201,82483.78069756726
149,208,82480.65832667564
149,228,82481.68700358826
149,249,82483.78069756726
149,288,82483.78069756726
149,389,82483.78069756726
149,91,82483.78069756726
149,99,82483.78069756726
15,222,34409.56809531901
15,226,34409.41786481226
15,25,62808.51247295271
15,29,62807.39842406602
15,358,34408.15393092718
15,411,34409.52696283114
15,42,62808.341741371296
15,43,62808.51247295271
15,470,62808.51247295271
15,490,62806.02055981838
15,518,62780.624696867395
15,528,62808.51247295271
15,530,62808.51247295271
15,537,62808.51247295271
15,538,62808.51247295271
15,541,62775.672704709374
15,544,62808.46821886437
15,545,62808.51247295271
15,73,34405.50341687941
151,155,64751.27430861427
151,160,64748.28894715454
151,182,64751.27430861427
151,193,64750.254002253154
151,312,64743.97222939028
151,496,64746.819903390046
151,97,64749.49689574629
152,155,64751.27430861427
152,160,64748.28894715454
152,182,64751.27430861427
152,193,64750.254002253154
152,312,64743.97222939028
152,496,64746.819903390046
152,97,64749.49689574629
157,116,82490.60148165036
157,137,82490.19865032798
157,140,82490.60148165036
157,142,82486.05479034371
157,151,82490.60148165036
157,152,82490.60148165036
157,159,82490.49498250103
157,183,82467.62601575343
157,189,82490.60148165036
157,201,82489.48688825034
157,208,82480.65832667564
157,228,82481.68700358826
157,249,82489.78714732871
157,288,82488.97554803023
157,389,82490.59697337686
157,91,82490.60148165036
157,99,82490.60148165036
159,155,64751.1907117498
159,160,64748.28894715454
159,182,64751.1907117498
159,193,64750.254002253154
159,312,64743.97222939028
159,496,64746.819903390046
159,97,64749.49689574629
17,146,57686.25274063531
17,149,57686.805565663526
17,157,57691.57582766995
17,224,57691.57582766995
17,252,57691.57582766995
17,259,57690.79385007396
17,265,57691.57582766995
17,286,57684.934144581486
17,289,57691.57582766995
17,299,57691.57582766995
17,343,57676.51879451832
17,463,57691.57582766995
18,10,53100.36463545268
18,13,53100.36463545268
18,17,53100.36463545268
18,19,63888.13072459027
18,206,53099.34416199872
18,214,53091.47823119123
18,220,53083.962453208966
18,222,71615.93772099851
18,226,71615.93772099851
18,23,53100.36463545268
18,231,53090.929673240695
18,237,53100.36463545268
18,269,53100.36463545268
18,271,53100.36463545268
18,298,53094.078407790854
18,30,53100.36463545268
18,301,53100.36463545268
18,302,53100.36463545268
18,308,53092.6554251794
18,33,63888.1296550761
18,34,63887.45081192624
18,358,71614.87977195765
18,360,53100.36463545268
18,41,63888.13072459027
18,411,71615.93772099851
18,47,63888.13072459027
18,57,53100.36463545268
18,59,63888.13072459027
18,62,53100.36463545268
18,66,53100.36463545268
18,67,53100.36463545268
18,69,63853.41689958163
18,70,42330.007884124716
18,71,53100.36463545268
18,73,71609.36316547985
183,155,64733.23963959818
183,160,64733.23963959818
183,182,64733.23963959818
183,193,64733.23963959818
183,312,64733.23963959818
183,496,64733.23963959818
183,97,64733.23963959818
187,10,53097.57269529937
187,13,53097.57269529937
187,17,53097.57269529937
187,19,63884.771579343076
187,206,53097.57269529937
187,214,53091.47823119123
187,220,53083.962453208966
187,222,71612.17225886822
187,226,71612.17225886822
187,23,53097.57269529937
187,231,53090.929673240695
187,237,53097.57269529937
187,269,53097.57269529937
187,271,53097.57269529937
187,298,53094.078407790854
187,30,53097.57269529937
187,301,53097.57269529937
187,302,53097.57269529937
187,308,53092.6554251794
187,33,63884.771579343076
187,34,63884.771579343076
187,358,71612.17225886822
187,360,53097.57269529937
187,41,63884.771579343076
187,411,71612.17225886822
187,47,63884.771579343076
187,57,53097.57269529937
187,59,63884.771579343076
187,62,53097.57269529937
187,66,53097.57269529937
187,67,53097.57269529937
187,69,63853.41689958163
187,70,42330.007884124716
187,71,53097.57269529937
187,73,71609.36316547985
188,222,34409.56809531901
188,226,34409.41786481226
188,25,62808.51247295271
188,29,62807.39842406602
188,358,34408.15393092718
188,411,34409.52696283114
188,42,62808.341741371296
188,43,62808.51247295271
188,470,62808.51247295271
188,490,62806.02055981838
188,518,62780.624696867395
188,528,62808.51247295271
188,530,62808.51247295271
188,537,62808.51247295271
188,538,62808.51247295271
188,541,62775.672704709374
188,544,62808.46821886437
188,545,62808.51247295271
188,73,34405.50341687941
189,155,64751.27430861427
189,160,64748.28894715454
189,182,64751.27430861427
189,193,64750.254002253154
189,312,64743.97222939028
189,496,64746.819903390046
189,97,64749.49689574629
19,10,49262.93203944355
19,13,49261.81808852291
19,17,49263.03874955568
19,206,49260.42856264589
19,214,49253.13131389948
19,219,2285.89332189274
19,220,49246.158903030184
19,223,2285.6725112553245
19,23,49262.66274825668
19,231,49252.6224149637
19,237,49263.03874955568
19,269,49263.03874955568
19,271,49263.03874955568
19,298,49255.54350590783
19,30,49263.03874955568
19,301,49261.78874239204
19,302,49263.03874955568
19,308,49254.223400464274
19,311,2285.925628153918
19,360,49263.03874955568
19,57,49263.03874955568
19,62,49263.03874955568
19,66,49263.03874955568
19,67,49262.25739243393
19,70,39269.681430914185
19,71,49263.03874955568
191,10,21773.245635302985
191,13,21773.245635302985
191,17,21773.245635302985
191,19,68935.10484964155
191,206,21773.245635302985
191,214,21773.245635302985
191,219,61893.332844931174
191,220,21773.245635302985
191,223,61893.332844931174
191,23,21773.245635302985
191,231,21773.245635302985
191,237,21773.245635302985
191,269,21773.245635302985
191,271,21773.245635302985
191,298,21773.245635302985
191,30,21773.245635302985
191,301,21773.245635302985
191,302,21773.245635302985
191,308,21773.245635302985
191,311,61893.332844931174
191,33,68935.10484964155
191,34,68935.10484964155
191,360,21773.245635302985
191,41,68935.10484964155
191,47,68935.10484964155
191,57,21773.245635302985
191,59,68935.10484964155
191,62,21773.245635302985
191,66,21773.245635302985
191,67,21773.245635302985
191,69,68925.00601314579
191,70,17363.866164038438
191,71,21773.245635302985
192,10,14422.743523198958
192,116,89744.09919500034
192,13,14422.743523198958
192,137,89744.09919500034
192,140,89744.09919500034
192,142,89744.09919500034
192,151,89744.09919500034
192,152,89744.09919500034
192,159,89744.09919500034
192,17,14422.743523198958
192,183,89725.10613107045
192,189,89744.09919500034
192,201,89744.09919500034
192,206,14422.743523198958
192,208,89739.28533734959
192,214,14420.782604416241
192,220,14418.741158142824
192,225,85617.2079512315
192,228,89740.40454193471
192,23,14422.743523198958
192,231,14420.633604327826
192,237,14422.743523198958
192,238,85617.2079512315
192,249,89744.09919500034
192,269,14422.743523198958
192,271,14422.743523198958
192,288,89744.09919500034
192,298,14421.488868071456
192,30,14422.743523198958
192,301,14422.743523198958
192,302,14422.743523198958
192,308,14421.102355516648
192,360,14422.743523198958
192,389,89744.09919500034
192,57,14422.743523198958
192,62,14422.743523198958
192,66,14422.743523198958
192,67,14422.743523198958
192,70,11497.736768262737
192,71,14422.743523198958
192,91,89744.09919500034
192,99,89744.09919500034
196,222,34409.56809531901
196,226,34409.41786481226
196,25,62808.51247295271
196,29,62807.39842406602
196,358,34408.15393092718
196,411,34409.52696283114
196,42,62808.341741371296
196,43,62808.51247295271
196,470,62808.51247295271
196,490,62806.02055981838
196,518,62780.624696867395
196,528,62808.51247295271
196,530,62808.51247295271
196,537,62808.51247295271
196,538,62808.51247295271
196,541,62775.672704709374
196,544,62808.46821886437
196,545,62808.51247295271
196,73,34405.50341687941
20,222,34409.56809531901
20,226,34409.41786481226
20,25,62808.51247295271
20,29,62807.39842406602
20,358,34408.15393092718
20,411,34409.52696283114
20,42,62808.341741371296
20,43,62808.51247295271
20,470,62808.51247295271
20,490,62806.02055981838
20,518,62780.624696867395
20,528,62808.51247295271
20,530,62808.51247295271
20,537,62808.51247295271
20,538,62808.51247295271
20,541,62775.672704709374
20,544,62808.46821886437
20,545,62808.51247295271
20,73,34405.50341687941
201,155,64750.39940478654
201,160,64748.28894715454
201,182,64750.39940478654
201,193,64750.254002253154
201,312,64743.97222939028
201,496,64746.819903390046
201,97,64749.49689574629
206,146,57686.25274063531
206,149,57686.805565663526
206,157,57688.41873368434
206,224,57688.41873368434
206,252,57688.41873368434
206,259,57688.41873368434
206,265,57688.41873368434
206,286,57684.934144581486
206,289,57688.41873368434
206,299,57688.41873368434
206,343,57676.51879451832
206,463,57688.41873368434
208,155,64743.469395767264
208,160,64743.469395767264
208,182,64743.469395767264
208,193,64743.469395767264
208,312,64743.469395767264
208,496,64743.469395767264
208,97,64743.469395767264
211,10,53101.116009586156
211,13,53100.84197504905
211,17,53101.116009586156
211,19,63889.03474642124
211,206,53099.34416199872
211,214,53091.47823119123
211,220,53083.962453208966
211,222,71616.9510918768
211,226,71616.9510918768
211,23,53101.116009586156
211,231,53090.929673240695
211,237,53101.116009586156
211,269,53101.116009586156
211,271,53101.116009586156
211,298,53094.078407790854
211,30,53101.116009586156
211,301,53100.810341944176
211,302,53101.116009586156
211,308,53092.6554251794
211,33,63888.1296550761
211,34,63887.45081192624
211,358,71614.87977195765
211,360,53101.116009586156
211,41,63889.03474642124
211,411,71616.9510918768
211,47,63889.03474642124
211,57,53101.116009586156
211,59,63889.03474642124
211,62,53101.116009586156
211,66,53101.116009586156
211,67,53101.116009586156
211,69,63853.41689958163
211,70,42330.007884124716
211,71,53101.116009586156
211,73,71609.36316547985
214,146,57679.872995176374
214,149,57679.872995176374
214,157,57679.872995176374
214,224,57679.872995176374
214,252,57679.872995176374
214,259,57679.872995176374
214,265,57679.872995176374
214,286,57679.872995176374
214,289,57679.872995176374
214,299,57679.872995176374
214,343,57676.51879451832
214,463,57679.872995176374
219,10,90820.18443269367
219,13,90820.18443269367
219,17,90820.18443269367
219,206,90818.63565887955
219,214,90805.18213858851
219,220,90792.3275033188
219,225,88627.82088538259
219,23,90820.18443269367
219,231,90804.2439107171
219,237,90820.18443269367
219,238,88627.82472402722
219,269,90820.18443269367
219,271,90820.18443269367
219,298,90809.6293590764
219,30,90820.18443269367
219,301,90820.18443269367
219,302,90820.18443269367
219,308,90807.1955561476
219,360,90820.18443269367
219,57,90820.18443269367
219,62,90820.18443269367
219,66,90820.18443269367
219,67,90820.18443269367
219,70,72399.26639653463
219,71,90820.18443269367
22,222,34409.56809531901
22,226,34409.41786481226
22,25,62808.51247295271
22,29,62807.39842406602
22,358,34408.15393092718
22,411,34409.52696283114
22,42,62808.341741371296
22,43,62808.51247295271
22,470,62808.51247295271
22,490,62806.02055981838
22,518,62780.624696867395
22,528,62808.51247295271
22,530,62808.51247295271
22,537,62808.51247295271
22,538,62808.51247295271
22,541,62775.672704709374
22,544,62808.46821886437
22,545,62808.51247295271
22,73,34405.50341687941
220,146,57671.707671212534
220,149,57671.707671212534
220,157,57671.707671212534
220,224,57671.707671212534
220,252,57671.707671212534
220,259,57671.707671212534
220,265,57671.707671212534
220,286,57671.707671212534
220,289,57671.707671212534
220,299,57671.707671212534
220,343,57671.707671212534
220,463,57671.707671212534
222,25,6172.030463017201
222,29,6171.977652650149
222,42,6172.030463017201
222,43,6172.030463017201
222,470,6172.030463017201
222,490,6171.842252242583
222,518,6169.346643404513
222,528,6172.030463017201
222,530,6172.030463017201
222,537,6172.030463017201
222,538,6172.030463017201
222,541,6168.860019444561
222,544,6172.030463017201
222,545,6172.030463017201
223,10,90811.41146738392
223,13,90811.41146738392
223,17,90811.41146738392
223,206,90811.41146738392
223,214,90805.18213858851
223,220,90792.3275033188
223,225,88621.27902722513
223,23,90811.41146738392
223,231,90804.2439107171
223,237,90811.41146738392
223,238,88621.27902722513
223,269,90811.41146738392
223,271,90811.41146738392
223,298,90809.6293590764
223,30,90811.41146738392
223,301,90811.41146738392
223,302,90811.41146738392
223,308,90807.1955561476
223,360,90811.41146738392
223,57,90811.41146738392
223,62,90811.41146738392
223,66,90811.41146738392
223,67,90811.41146738392
223,70,72399.26639653463
223,71,90811.41146738392
224,116,82490.60148165036
224,137,82490.19865032798
224,140,82490.60148165036
224,142,82486.05479034371
224,151,82490.60148165036
224,152,82490.60148165036
224,159,82490.49498250103
224,183,82467.62601575343
224,189,82490.60148165036
224,201,82489.48688825034
224,208,82480.65832667564
224,228,82481.68700358826
224,249,82489.78714732871
224,288,82488.97554803023
224,389,82490.59697337686
224,91,82490.60148165036
224,99,82490.60148165036
225,10,56546.57390966234
225,13,56546.57390966234
225,17,56546.57390966234
225,206,56546.57390966234
225,214,56538.52145408328
225,220,56530.51770303224
225,23,56546.57390966234
225,231,56537.93728019157
225,237,56546.57390966234
225,269,56546.57390966234
225,271,56546.57390966234
225,298,56541.29045101763
225,30,56546.57390966234
225,301,56546.57390966234
225,302,56546.57390966234
225,308,56539.77507914277
225,360,56546.57390966234
225,57,56546.57390966234
225,62,56546.57390966234
225,66,56546.57390966234
225,67,56546.57390966234
225,70,45078.34663194687
225,71,56546.57390966234
226,25,6172.003516231309
226,29,6171.977652650149
226,42,6172.003516231309
226,43,6172.003516231309
226,470,6172.003516231309
226,490,6171.842252242583
226,518,6169.346643404513
226,528,6172.003516231309
226,530,6172.003516231309
226,537,6172.003516231309
226,538,6172.003516231309
226,541,6168.860019444561
226,544,6172.003516231309
226,545,6172.003516231309
228,155,64744.27685916005
228,160,64744.27685916005
228,182,64744.27685916005
228,193,64744.27685916005
228,312,64743.97222939028
228,496,64744.27685916005
228,97,64744.27685916005
23,146,57686.25274063531
23,149,57686.805565663526
23,157,57691.03516717476
23,224,57691.03516717476
23,252,57691.03516717476
23,259,57690.79385007396
23,265,57691.03516717476
23,286,57684.934144581486
23,289,57691.03516717476
23,299,57691.03516717476
23,343,57676.51879451832
23,463,57691.03516717476
231,146,57679.27702847943
231,149,57679.27702847943
231,157,57679.27702847943
231,224,57679.27702847943
231,252,57679.27702847943
231,259,57679.27702847943
231,265,57679.27702847943
231,286,57679.27702847943
231,289,57679.27702847943
231,299,57679.27702847943
231,343,57676.51879451832
231,463,57679.27702847943
237,146,57686.25274063531
237,149,57686.805565663526
237,157,57691.57582766995
237,224,57691.57582766995
237,252,57691.57582766995
237,259,57690.79385007396
237,265,57691.57582766995
237,286,57684.934144581486
237,289,57691.57582766995
237,299,57691.57582766995
237,343,57676.51879451832
237,463,57691.57582766995
238,10,56546.57635880528
238,13,56546.57635880528
238,17,56546.57635880528
238,206,56546.57635880528
238,214,56538.52145408328
238,220,56530.51770303224
238,23,56546.57635880528
238,231,56537.93728019157
238,237,56546.57635880528
238,269,56546.57635880528
238,271,56546.57635880528
238,298,56541.29045101763
238,30,56546.57635880528
238,301,56546.57635880528
238,302,56546.57635880528
238,308,56539.77507914277
238,360,56546.57635880528
238,57,56546.57635880528
238,62,56546.57635880528
238,66,56546.57635880528
238,67,56546.57635880528
238,70,45078.34663194687
238,71,56546.57635880528
244,15,26572.573020742053
244,188,26572.573020742053
244,196,26572.573020742053
244,20,26572.573020742053
244,22,26572.573020742053
244,254,26572.573020742053
244,277,26572.573020742053
244,306,26572.573020742053
244,326,26572.573020742053
244,39,26572.573020742053
244,481,26572.573020742053
244,482,26571.99605618109
244,484,26572.364912248366
244,506,26572.573020742053
244,507,26572.573020742053
244,508,26572.573020742053
244,514,26530.323546676485
244,515,26572.573020742053
244,517,26544.38650984627
244,523,26572.573020742053
249,155,64750.635094157195
249,160,64748.28894715454
249,182,64750.635094157195
249,193,64750.254002253154
249,312,64743.97222939028
249,496,64746.819903390046
249,97,64749.49689574629
252,116,82490.60148165036
252,137,82490.19865032798
252,140,82490.60148165036
252,142,82486.05479034371
252,151,82490.60148165036
252,152,82490.60148165036
252,159,82490.49498250103
252,183,82467.62601575343
252,189,82490.60148165036
252,201,82489.48688825034
252,208,82480.65832667564
252,228,82481.68700358826
252,249,82489.78714732871
252,288,82488.97554803023
252,389,82490.59697337686
252,91,82490.60148165036
252,99,82490.60148165036
254,222,34409.56809531901
254,226,34409.41786481226
254,25,62808.51247295271
254,29,62807.39842406602
254,358,34408.15393092718
254,411,34409.52696283114
254,42,62808.341741371296
254,43,62808.51247295271
254,470,62808.51247295271
254,490,62806.02055981838
254,518,62780.624696867395
254,528,62808.51247295271
254,530,62808.51247295271
254,537,62808.51247295271
254,538,62808.51247295271
254,541,62775.672704709374
254,544,62808.46821886437
254,545,62808.51247295271
254,73,34405.50341687941
259,116,82489.48336689422
259,137,82489.48336689422
259,140,82489.48336689422
259,142,82486.05479034371
259,151,82489.48336689422
259,152,82489.48336689422
259,159,82489.48336689422
259,183,82467.62601575343
259,189,82489.48336689422
259,201,82489.48336689422
259,208,82480.65832667564
259,228,82481.68700358826
259,249,82489.48336689422
259,288,82488.97554803023
259,389,82489.48336689422
259,91,82489.48336689422
259,99,82489.48336689422
265,116,82490.60148165036
265,137,82490.19865032798
265,140,82490.60148165036
265,142,82486.05479034371
265,151,82490.60148165036
265,152,82490.60148165036
265,159,82490.49498250103
265,183,82467.62601575343
265,189,82490.60148165036
265,201,82489.48688825034
265,208,82480.65832667564
265,228,82481.68700358826
265,249,82489.78714732871
265,288,82488.97554803023
265,389,82490.59697337686
265,91,82490.60148165036
265,99,82490.60148165036
266,10,53101.749484802844
266,13,53100.84197504905
266,17,53101.749484802844
266,19,63889.79691722237
266,206,53099.34416199872
266,214,53091.47823119123
266,220,53083.962453208966
266,222,71617.8054536496
266,226,71617.51044122872
266,23,53101.749484802844
266,231,53090.929673240695
266,237,53101.749484802844
266,269,53101.749484802844
266,271,53101.749484802844
266,298,53094.078407790854
266,30,53101.749484802844
266,301,53100.810341944176
266,302,53101.749484802844
266,308,53092.6554251794
266,33,63888.1296550761
266,34,63887.45081192624
266,358,71614.87977195765
266,360,53101.749484802844
266,41,63889.79691722237
266,411,71617.73751070537
266,47,63889.79691722237
266,57,53101.749484802844
266,59,63889.79691722237
266,62,53101.749484802844
266,66,53101.749484802844
266,67,53101.315514363334
266,69,63853.41689958163
266,70,42330.007884124716
266,71,53101.749484802844
266,73,71609.36316547985
269,146,57686.25274063531
269,149,57686.805565663526
269,157,57691.57582766995
269,224,57691.57582766995
269,252,57691.57582766995
269,259,57690.79385007396
269,265,57691.57582766995
269,286,57684.934144581486
269,289,57691.57582766995
269,299,57691.57582766995
269,343,57676.51879451832
269,463,57691.57582766995
271,146,57686.25274063531
271,149,57686.805565663526
271,157,57691.57582766995
271,224,57691.57582766995
271,252,57691.57582766995
271,259,57690.79385007396
271,265,57691.57582766995
271,286,57684.934144581486
271,289,57691.57582766995
271,299,57691.57582766995
271,343,57676.51879451832
271,463,57691.57582766995
277,222,34409.56809531901
277,226,34409.41786481226
277,25,62808.51247295271
277,29,62807.39842406602
277,358,34408.15393092718
277,411,34409.52696283114
277,42,62808.341741371296
277,43,62808.51247295271
277,470,62808.51247295271
277,490,62806.02055981838
277,518,62780.624696867395
277,528,62808.51247295271
277,530,62808.51247295271
277,537,62808.51247295271
277,538,62808.51247295271
277,541,62775.672704709374
277,544,62808.46821886437
277,545,62808.51247295271
277,73,34405.50341687941
281,12,38149.72703812947
281,18,38148.84022216222
281,187,38146.83441147617
281,211,38149.38003110631
281,222,62027.22466956683
281,226,62027.14492101142
281,25,10077.494520324844
281,266,38149.72703812947
281,29,10077.439334304705
281,317,38149.72703812947
281,358,62024.86652703892
281,411,62027.22466956683
281,42,10077.494520324844
281,43,10077.494520324844
281,470,10077.494520324844
281,490,10077.218256156033
281,518,10073.143493076326
281,528,10077.494520324844
281,530,10077.494520324844
281,537,10077.494520324844
281,538,10077.494520324844
281,541,10072.348946545048
281,544,10077.494520324844
281,545,10077.494520324844
281,65,38101.35246999324
281,73,62020.088654318075
286,116,82481.1048363437
286,137,82481.1048363437
286,140,82481.1048363437
286,142,82481.1048363437
286,151,82481.1048363437
286,152,82481.1048363437
286,159,82481.1048363437
286,183,82467.62601575343
286,189,82481.1048363437
286,201,82481.1048363437
286,208,82480.65832667564
286,228,82481.1048363437
286,249,82481.1048363437
286,288,82481.1048363437
286,389,82481.1048363437
286,91,82481.1048363437
286,99,82481.1048363437
288,155,64749.99802656572
288,160,64748.28894715454
288,182,64749.99802656572
288,193,64749.99802656572
288,312,64743.97222939028
288,496,64746.819903390046
288,97,64749.49689574629
289,116,82490.60148165036
289,137,82490.19865032798
289,140,82490.60148165036
289,142,82486.05479034371
289,151,82490.60148165036
289,152,82490.60148165036
289,159,82490.49498250103
289,183,82467.62601575343
289,189,82490.60148165036
289,201,82489.48688825034
289,208,82480.65832667564
289,228,82481.68700358826
289,249,82489.78714732871
289,288,82488.97554803023
289,389,82490.59697337686
289,91,82490.60148165036
289,99,82490.60148165036
297,10,86381.87791324055
297,12,84161.4057701529
297,13,86381.87791324055
297,17,86381.87791324055
297,18,84161.4057701529
297,187,84161.4057701529
297,190,14121.676921264665
297,206,86381.87791324055
297,211,84161.4057701529
297,214,86381.87791324055
297,220,86375.39590167986
297,222,40811.920165040596
297,226,40811.920165040596
297,23,86381.87791324055
297,231,86381.87791324055
297,237,86381.87791324055
297,266,84161.4057701529
297,269,86381.87791324055
297,271,86381.87791324055
297,298,86381.87791324055
297,30,86381.87791324055
297,301,86381.87791324055
297,302,86381.87791324055
297,308,86381.87791324055
